X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,DISTRICT,NEWSTA,RESOLUTION,WEBSITE,PIN,MAJOR,MINOR
1263313.8748631,121142.929755941,1,660114,687852,66,Station 68,68,1405 SW 312th St,98023,39,E,added zip/moved to current location/QC'd - changed # from 8,https://wa-southkingfire2.civicplus.com/Facilities/Facility/Details/Station-68-11,0721049209,072104,9209
1265625.7501606,252480.26550594,2,660050,320852,66,Station 21,21,7304 Greenwood Ave N,98103,SE,Y,added station manually/QC'd,https://www.seattle.gov/fire/about-us/fire-stations,3363400200,336340,0200
1336145.6248686,107786.03914693,3,660067,638108,66,Station 97,97,34920 212th AVE SE,98092,44,Y,new to firestn added 3/12/03,https://www.mvfire.org/Facilities/Facility/Details/Station-97-6,2121069043,212106,9043
1333711.75014319,278939.374989182,4,660081,21179,66,Station 35,35,17825 Avondale Rd NE,98077,36,E,"added city, zip/moved to current location/QC'd",https://wf-r.org/,0726069092,072606,9092
1368647.75015295,104991.711074188,5,660119,636827,66,Station 42,42,35431 Veazie Cumberland Rd SE,98022,28,E,added zip/moved to current location/QC'd,https://enumclawfire.org/fire-stations/,2821079006,282107,9006
1335715.62507243,79624.6561653614,6,660120,852491,66,Station 43,43,43407 212th Ave SE,98022,28,E,added zip/moved to current location/QC'd,https://enumclawfire.org/fire-stations/,2020069042,202006,9042
1303036.12514286,223029.93759568,7,660001,103850,66,Station 1,1,766 Bellevue Way SE,98004,BE,Y,added station manually/QC- changed zip from 98007,https://bellevuewa.gov/city-government/departments/fire/about/fire-stations,5223300165,522330,0165
1317408.3749416,216177.04677394,8,660002,95318,66,Station 2,2,2802 148th Ave SE,98007,BE,Y,added station manually/QC'd,https://bellevuewa.gov/city-government/departments/fire/about/fire-stations,1124059045,112405,9045
1341327.62500328,196494.281349525,9,660086,2403,66,HQ,HQ,175 Newport Way NW,98027,10,N,added zip/location correct/QC'd,http://www.eastsidefire-rescue.org/161/Fire-Stations,2824069165,282406,9165
1278427.62514736,104994.726488099,10,660110,9,66,Station 61,61,3203 S 360th St,98001,39,N,added zip/station # from 1/QC'd,https://wa-southkingfire2.civicplus.com/Facilities/Facility/Details/Station-61-4,2721049034,272104,9034
1279813.74999978,118508.289027855,11,660111,2358,66,Station 64,64,3700 S 320th St,98023,39,N,added zip/ station # from 4/QC'd - changed zip from 98023,https://wa-southkingfire2.civicplus.com/Facilities/Facility/Details/Station-64-7,5515600037,551560,0037
1310476.62502562,154716.140496522,12,660117,626214,66,Station 77,77,20717 132nd Ave SE,98042,KE,E,zip from 98031/moved to current location/QC- changed location from 21006 132nd ave se,https://pugetsoundfire.org/about/fire-station-locations/fire-station-77/,0422059095,042205,9095
1340501.2500156,146132.390603691,13,660130,619206,66,Station 81,81,22225 SE 231st St,98038,43,E,moved to current location/QC'd,https://pugetsoundfire.org/about/fire-station-locations/fire-station-81/,1622069007,162206,9007
1357383.00004469,132498.281389028,14,660131,662147,66,Station 82,82,27519 SE Kent Kangley Rd,98051,43,E,moved to current location/QC'd,http://www.maplevalleyfire.org/stations/station_82.htm,3622069066,362206,9066
1276179.00005144,280627.312558189,15,660075,16140,66,Station 63,63,1410  NE 180th St,98155,4,E,"added zip/address and location correct/changed city from Seattle/QC- moved location, changed PIN",https://shorelinefire.com/contact/,6163900601,616390,0601
